Name,Type,asset_type,maintain_customer,comments,it_owner,business_owner,customer,product_supplier,product_vendor,vendor_support,business_process,criticality,known_risks,dr,parent_system,description,technologies,pace_layer,tq_fq_quadrant,strategy_support,initiatives,roadmap_2016,roadmap_2018,notes
KBMAC,external,actor,,,,,,,,,"During crisis, implement relief package for Business and Retail Customers ",tier_1,,,,"KBMAC (Kiwibank – Manage Customer).
KBMAC is an application suite within the NZPost Teller Point of Sale (POS) application called PostLink.
 
It provides the PostShop Teller with all transactional activity relating to Kiwibank Customers accounts including credit cards:
Deposit
Print Balance
Withdrawal
Transaction Listing
Fund Transfer
Maintain Payments
Order Bank Cheque
Card Maintenance
Term Deposit
Order Statement
Order Stationery
View AOA
Referrals
Stop Cheque
Account Maintenance
Customer Maintenance
Foreign Cheque Deposits
International TTs, DCs and Drafts",,sod,replace,,,,,
Exact Target,system,marketing_application,"","","","","","","","","","","","","","","","","","","","","",""
Home Hunter,system,lob_application,"","","","","","","","","",tier_2,"","","","","","","","","","","",""
Excel,not_determined,"","","","","","","","","","","","","","","","","","","","","","",""
CRM,system,lob_application,"","","","","","","","","","","","","","","",sod,replace,"","","","",""
SAP,not_determined,core,"","","","","","","","","","","","","","","","","","","","","",""
DIMS,system,enterprise_application,Y,,Application Development,Personal Markets~ Customer Service Experience,Unknown,IT,IT,,,tier_1,,,,,,,,,,,,
Propel,system,lob_application,"","","","","","","","",Settle/Discharge existing home loans,tier_2,"","","","Used by Home Loans Operations for Loan Documentation. SaaS web0-based system provided by FMS.

Includes services for doc signing and storage.
","",sod,replace,"","","","",""
ActivateBB,not_determined,lob_application,"","","","","","","","","Business Markets loan Origination - Retail, retail SME & Wholesale",tier_1,"","","","Business banking Loan application, decisioning and processing","",sor,refactor,"","","","",""
360T,component,system_component,"","","","","","","","",Wholesale FX trading,tier_1,"","",TMS,"Integrates various trading systems into one front end view where traders commit to a deal.  Contains connectors; Connector to global 360T platform, passes deals onto Quantum","","","","","","","",""
Activate-Veda,system,lob_application,"","","","","","","","","","","","","",Customer Credit History from an external bureau (Veda).  Over 300 different properties about credit history.,"","","","","","","",""
Moodys,system,lob_application,"","","","","","","","","",tier_2,"","","",Moody's Risk-Origins software is used for Loan origination and decisioning processing and loan management. Moodys is used for wholesale and large business loans only whereas Activate is used for all other types of loans.,COTS; Oracle DB  ,sor,keep,"","","","",""
